title,company,location,salary_min,salary_max,avg_salary,description,created,category,skill_count
Data Analyst,Vikash Technologies,"delhi, india",1500000.0,1900000.0,1700000.0,"Hiring for Data Analyst Exp : 5 - 7 yrs Edu : BE/B.Tech Work Location : Noida WFO Skills : Expertise in SQL Server, including database design, performance tuning, query optimization, and security. Hands-on experience developing ETL solutions using SSIS, Azure Data Factory (ADF), and Python. Skills:- SQL server, ETL, ELT, Azure Data Factory, Python and SSIS",2026-07-15T15:12:05Z,IT Jobs,4
data analyst,Epik Solutions,india,50000.0,700000.0,375000.0,"Job Title: Data Analyst Location: Permanent Work from Home Job Type: Full-Time Job Description: We are seeking a highly motivated and skilled Data Analyst to join our team. The ideal candidate will have a strong background in data analysis, incident management, and real-time data reporting. The role demands exceptional communication skills, both written and spoken, as well as the ability to work flexible shifts to support our global operations. Key Responsibilities: - Perform data analysis to i…",2024-09-07T11:25:36Z,IT Jobs,1
Data Analyst,Multi Recruit,"bangalore, karnataka",1200000.0,1400000.0,1300000.0,"We are looking for a Business Intelligence (BI)/Data Analyst to create and manage Power Bl and analytics solutions that turn data into knowledge. In this role, you should have a background in data and business analysis. If you are self-directed, passionate about data, and have business acumen and problem-solving aptitude, we'd like to meet you. Ultimately, you will enhance our business intelligence system to help us make better decisions. Requirements and Qualifications BSc/BA in Computer Scien…",2022-01-30T04:34:26Z,IT Jobs,0
Data Analyst,Beworld web services,"telangana, india",500000.0,1000000.0,750000.0,"We are looking for a detail-oriented and proactive Data Analyst with around 1 year of experience in a consumer app or product-based environment. The ideal candidate should have strong analytical skills, hands-on experience with SQL and MongoDB, and the ability to work closely with cross-functional teams to drive data-informed decisions. Key Responsibilities Analyze user behavior, product performance, and business metrics for consumer applications. Write efficient SQL queries to extract, transfo…",2026-06-30T14:52:26Z,IT Jobs,1
Data Analyst,MSMEx,"mumbai, maharashtra",0.0,1200000.0,600000.0,We are looking for a Data Analyst that oversees organisational data analytics. This will require you to design and help implement the data analytics platform that will keep the organisation running. The team will be the go-to for all data needs for the app and we are looking for a self-starter who is hands on and yet able to abstract problems and anticipate data requirements. This person should be very strong technical data analyst who can design and implement data systems on his own. Along wit…,2021-09-05T02:42:02Z,IT Jobs,0
Data Analyst,Syrencloud,"hyderabad, telangana",0.0,800000.0,400000.0,"Our growing technology firm is looking for an experienced Data Analyst who is able to turn project requirements into custom-formatted data reports. The ideal candidate for this position is able to do complete life cycle data generation and outline critical information for each Project Manager. We also need someone who is able to analyze business procedures and recommend specific types of data that can be used to improve upon them. Skills:- SQL, SAP and Data Analytics",2021-09-11T02:17:17Z,IT Jobs,1
Data Analyst,RECEX,"delhi, india",500000.0,1000000.0,750000.0,"Job Description: We are seeking a skilled Data Analyst with expertise in Power BI to design and maintain interactive dashboards, analyze complex datasets, and deliver actionable insights. The ideal candidate will have experience in data visualization, report creation, and performance analysis. Strong proficiency in Power BI, SQL, and Excel is essential. The role requires excellent problem-solving abilities, attention to detail, and effective communication to present data findings to stakeholder…",2026-05-14T02:27:43Z,IT Jobs,5
Data Analyst,Kotak Life,"gurgaon, haryana",500000.0,1000000.0,750000.0,"Job Description- Job Summary: We are seeking a detail-oriented Data Analyst with expertise in SAS and VBA. The ideal candidate will possess strong skills in SQL, DataSteps, and dashboard creation to support our data-driven decision-making process. This role involves completing ad hoc data requests and ensuring effective data management using databases. Key Responsibilities: • Utilize SAS for data analysis and MIS reporting. • Manage and produce daily, weekly, and monthly MIS reports to track ke…",2026-06-13T08:48:32Z,IT Jobs,3
Data Analyst,Fragma Data Systems,india,600000.0,800000.0,700000.0,"Good grasp and hands-on exposure to SQL, Hive. Good to have- Azure cloud, Spark sql. 1. Will be the point of contact for reporting/data management needs and will be responsible to drive complex data analysis and propose improvement opportunities in existing tools and reports. 2. The Data Analyst will be responsible to establish best practices in data management, data visualization, and report distribution. 3. Understanding requirements and converting into technical and business delivers. 4. Lev…",2022-02-12T04:45:18Z,IT Jobs,4
Data Analyst,Not Specified,"vadodara, gujarat",500000.0,1000000.0,750000.0,"We are Hiring for ( Data Analyst ) ( Desired Candidate Profile: Checking ) Analysis and entering data in databases working in a Emergency Control Room and working on Logistics Portal Interface and GPS, Good Communication skill (Hindi & English) Employee Condition:- · Job Location is Vadodara · Girls only work in ‘A’ and ‘B’ Shift · Bond Period is 1 Years and breach to which is strictly not allowed. Special Request / Permissions shall be reviewed for by higher management is case of relieving · R…",2024-05-10T07:38:51Z,IT Jobs,1
Data Analyst,ARC Gate Private Limited,"ajmer, rajasthan",500000.0,1000000.0,750000.0,"Share this jobShare this job Data Analyst Arcgate is a dynamic and rapidly growing team of 2500 professionals passionate about data and technology. We partner with leading startups and enterprises to deliver solutions across data analytics, AI data preparation, quality engineering,search relevance, and more. We are currently seeking a Data Analyst to join our team. This role will play a key part in delivering high-quality data analysis and reporting to drive decision-making across client’s prod…",2026-06-29T18:13:09Z,IT Jobs,0
Data analyst,Sadup Softech,"bangalore, karnataka",1200000.0,1500000.0,1350000.0,"Must have skills 3 to 6 years Data Science SQL, Excel, Big Query - mandate 3 years Python/ML, Hadoop, Spark - 2 years Requirements • 3 years prior experience as a data analyst • Detail oriented, structural thinking and analytical mindset. • Proven analytic skills, including data analysis and data validation. • Technical writing experience in relevant areas, including queries, reports, and presentations. • Strong SQL and Excel skills with the ability to learn other analytic tools • Good communic…",2024-06-01T09:41:50Z,IT Jobs,5
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",20000.0,25000.0,22500.0,"Job Description– Data Analyst Qualification: Bachelor's degree in Computer Science, Statistics, Mathematics, or related field Location: Noida sector 127 Experience: • 1–3 years • Proficiency in MS Excel (pivot tables, VLOOKUP, formulas) • Basicknowledge of SQLfor data querying • Familiarity with data visualization tools (Power BI/Tableau)– preferred • Stronganalytical and problem-solving skills • Goodcommunicationskills Roles and Responsibilities: • Collect, clean, and organize data from multip…",2026-07-15T10:21:31Z,IT Jobs,7
Data Analyst,Fusemachines,india,500000.0,1000000.0,750000.0,"About Fusemachines Founded in 2013, Fusemachines is a global provider of enterprise AI products and services, on a mission to democratize AI. Leveraging proprietary AI Studio and AI Engines, the company helps drive the clients’ AI Enterprise Transformation, regardless of where they are in their Digital AI journeys. With offices in North America, Asia, and Latin America, Fusemachines provides a suite of enterprise AI offerings and specialty services that allow organizations of any size to implem…",2026-04-23T01:53:07Z,IT Jobs,0
Data Analyst,Fusemachines,"pune, maharashtra",500000.0,1000000.0,750000.0,"About Fusemachines Founded in 2013, Fusemachines is a global provider of enterprise AI products and services, on a mission to democratize AI. Leveraging proprietary AI Studio and AI Engines, the company helps drive the clients’ AI Enterprise Transformation, regardless of where they are in their Digital AI journeys. With offices in North America, Asia, and Latin America, Fusemachines provides a suite of enterprise AI offerings and specialty services that allow organizations of any size to implem…",2026-06-19T17:24:10Z,IT Jobs,0
Data Analyst,Wissen Technology,"bangalore, karnataka",500000.0,1000000.0,750000.0,"Role- Data Analyst Experience- 2 to 5 years Location-Bangalore Job Role- ● Experience: Minimum of 2 years of professional experience in a data-heavy environment (E-commerce or Fintech experience is a plus). ● SQL Mastery: Exceptional ability to write complex joins, window functions, Analytical functions, and CTEs. Experience with high-scale databases (e.g., BigQuery, Hive, or Postgres). ● Scripting: Functional knowledge of Python for data manipulation (Pandas, NumPy) and basic automation script…",2026-03-28T11:28:26Z,IT Jobs,4
Data Analyst,Graphene Services Pte Ltd,"bangalore, karnataka",500000.0,1000000.0,750000.0,"About Graphene Graphene is a Singapore Head quartered AI company which has been recognized as Singapore’s Best Start Up By Switzerland’s Seedstarsworld, and also been awarded as best AI platform for healthcare in Vivatech Paris. Graphene India is also a member of the exclusive NASSCOM Deeptech club. We are developing an AI plaform which is disrupting and replacing traditional Market Research with unbiased insights with a focus on healthcare, consumer goods and financial services. Graphene was f…",2021-10-13T05:52:44Z,IT Jobs,0
Data Analyst,EXL,"pune, maharashtra",500000.0,1000000.0,750000.0,"Description Must-Have: ● 4 / 5 years of professional experience as a Data Analyst with good decision-making, analytical and problem-solving skills. ● SQL, Pyspark, Python with Banking Domain knowledge - Credit & Lending. Working knowledge / experience of Big Data frameworks like Hadoop, Hive and Spark. ● Hands-on experience in query languages like HQL or SQL (Spark SQL) for Data exploration. ● Data mapping: Determine the data mapping required to join multiple data sets together across multiple …",2026-07-25T03:27:49Z,IT Jobs,4
Data Analyst,Highfly Sourcing,india,1500000.0,2500000.0,2000000.0,"We are seeking a motivated Data Analyst to support business operations by analyzing data, preparing reports, and delivering meaningful insights. The ideal candidate should be comfortable working with data, identifying patterns, and presenting findings in a clear and actionable way. Key Responsibilities: Collect, clean, and organize data from internal and external sources Analyze large datasets to identify trends, patterns, and opportunities Prepare regular and ad-hoc reports for business stakeh…",2025-12-20T11:07:17Z,IT Jobs,0
Data Analyst,Webkit24,"kolkata, west bengal",500000.0,1000000.0,750000.0,"Required Skills & Qualifications: Bachelors degree in Statistics, Mathematics, Computer Science, Economics, or related field 2 years of experience as a Data Analyst or similar role Strong knowledge of SQL, Excel, and data visualization tools (Tableau, Power BI, etc ) Familiarity with Python or R for data analysis is a plus Experience with data warehousing and ETL pipelines is preferred Excellent problem-solving and critical thinking skills Strong communication skills to explain complex data fin…",2026-06-26T07:29:41Z,IT Jobs,9
Data Analyst,Webkit24,"pune, maharashtra",500000.0,1000000.0,750000.0,"Required Skills & Qualifications: Bachelors degree in Statistics, Mathematics, Computer Science, Economics, or related field 2 years of experience as a Data Analyst or similar role Strong knowledge of SQL, Excel, and data visualization tools (Tableau, Power BI, etc ) Familiarity with Python or R for data analysis is a plus Experience with data warehousing and ETL pipelines is preferred Excellent problem-solving and critical thinking skills Strong communication skills to explain complex data fin…",2026-06-26T07:29:41Z,IT Jobs,9
