title,company,location,avg_salary,skill
Data Analyst,SkySun,india,750000.0,excel
Data Analyst,Cloudester Software LLP,"sevasi, vadodara",750000.0,excel
Data Analyst,Rentomojo,"bangalore, karnataka",750000.0,sql
Data Analyst,Proof of Skill,"andheri, mumbai",1200000.0,sql
Data Analyst,Proof of Skill,"andheri, mumbai",1200000.0,excel
Data Analyst,Proof of Skill,"andheri, mumbai",1200000.0,google sheets
Data Analyst,Proof of Skill,"andheri, mumbai",1200000.0,data visualization
Data Analyst,Sia,"mumbai, maharashtra",750000.0,power bi
Data Analyst,Aliqan Services,"chennai, tamil nadu",750000.0,data visualization
Data Analyst,Aliqan Services,"gurgaon, haryana",750000.0,data visualization
Data Analyst,Leading Client,"hyderabad, telangana",750000.0,sql
Data Analyst,Leading Client,"hyderabad, telangana",750000.0,etl
Data Analyst,Careernet,india,750000.0,python
Data Analyst,Careernet,india,750000.0,sql
Data analyst,RECEX,"kolkata, west bengal",750000.0,data visualization
Data Analyst,Fatakpay,india,1150000.0,excel
Data Analyst,Techwave Consulting India Private,india,750000.0,excel
Data Analyst,NAVVYASA CONSULTING PRIVATE LIMITED,india,750000.0,python
Data Analyst,NAVVYASA CONSULTING PRIVATE LIMITED,india,750000.0,sql
Data Analyst,Reality Premedia Services Pvt Ltd,"pune, maharashtra",400000.0,python
Data Analyst,Reality Premedia Services Pvt Ltd,"pune, maharashtra",400000.0,sql
Data Analyst,Reality Premedia Services Pvt Ltd,"pune, maharashtra",400000.0,tableau
Data Analyst,RegisterKaro,india,700000.0,python
Data Analyst,RegisterKaro,india,700000.0,data visualization
Data Analyst,Indium Software,india,525000.0,python
Data Analyst,Indium Software,india,525000.0,sql
Data Analyst,EWU,"coimbatore, tamil nadu",550000.0,tableau
Data Analyst,EWU,"coimbatore, tamil nadu",550000.0,data visualization
Data Analyst,Vikash Technologies,"delhi, india",1700000.0,python
Data Analyst,Vikash Technologies,"delhi, india",1700000.0,sql
Data Analyst,Vikash Technologies,"delhi, india",1700000.0,azure
Data Analyst,Vikash Technologies,"delhi, india",1700000.0,etl
data analyst,Epik Solutions,india,375000.0,communication
Data Analyst,Beworld web services,"telangana, india",750000.0,sql
Data Analyst,Syrencloud,"hyderabad, telangana",400000.0,sql
Data Analyst,RECEX,"delhi, india",750000.0,sql
Data Analyst,RECEX,"delhi, india",750000.0,excel
Data Analyst,RECEX,"delhi, india",750000.0,power bi
Data Analyst,RECEX,"delhi, india",750000.0,data visualization
Data Analyst,RECEX,"delhi, india",750000.0,communication
Data Analyst,Kotak Life,"gurgaon, haryana",750000.0,sql
Data Analyst,Kotak Life,"gurgaon, haryana",750000.0,sas
Data Analyst,Kotak Life,"gurgaon, haryana",750000.0,vba
Data Analyst,Fragma Data Systems,india,700000.0,sql
Data Analyst,Fragma Data Systems,india,700000.0,spark
Data Analyst,Fragma Data Systems,india,700000.0,azure
Data Analyst,Fragma Data Systems,india,700000.0,data visualization
Data Analyst,Not Specified,"vadodara, gujarat",750000.0,communication
Data analyst,Sadup Softech,"bangalore, karnataka",1350000.0,python
Data analyst,Sadup Softech,"bangalore, karnataka",1350000.0,sql
Data analyst,Sadup Softech,"bangalore, karnataka",1350000.0,excel
Data analyst,Sadup Softech,"bangalore, karnataka",1350000.0,spark
Data analyst,Sadup Softech,"bangalore, karnataka",1350000.0,hadoop
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",22500.0,sql
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",22500.0,excel
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",22500.0,tableau
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",22500.0,power bi
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",22500.0,statistics
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",22500.0,data visualization
Data Analyst,Jetking Technologies Private Limited,"noida, ghaziabad",22500.0,communication
Data Analyst,Wissen Technology,"bangalore, karnataka",750000.0,python
Data Analyst,Wissen Technology,"bangalore, karnataka",750000.0,sql
Data Analyst,Wissen Technology,"bangalore, karnataka",750000.0,pandas
Data Analyst,Wissen Technology,"bangalore, karnataka",750000.0,numpy
Data Analyst,EXL,"pune, maharashtra",750000.0,python
Data Analyst,EXL,"pune, maharashtra",750000.0,sql
Data Analyst,EXL,"pune, maharashtra",750000.0,spark
Data Analyst,EXL,"pune, maharashtra",750000.0,hadoop
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,python
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,sql
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,excel
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,tableau
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,power bi
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,statistics
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,etl
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,data visualization
Data Analyst,Webkit24,"kolkata, west bengal",750000.0,communication
Data Analyst,Webkit24,"pune, maharashtra",750000.0,python
Data Analyst,Webkit24,"pune, maharashtra",750000.0,sql
Data Analyst,Webkit24,"pune, maharashtra",750000.0,excel
Data Analyst,Webkit24,"pune, maharashtra",750000.0,tableau
Data Analyst,Webkit24,"pune, maharashtra",750000.0,power bi
Data Analyst,Webkit24,"pune, maharashtra",750000.0,statistics
Data Analyst,Webkit24,"pune, maharashtra",750000.0,etl
Data Analyst,Webkit24,"pune, maharashtra",750000.0,data visualization
Data Analyst,Webkit24,"pune, maharashtra",750000.0,communication
Data Analyst,Colan Infotech Private Limited,"chennai, tamil nadu",750000.0,excel
Data Analyst,Colan Infotech Private Limited,"chennai, tamil nadu",750000.0,tableau
Data Analyst,Colan Infotech Private Limited,"chennai, tamil nadu",750000.0,power bi
Data Analyst,Colan Infotech Private Limited,"chennai, tamil nadu",750000.0,communication
Data Analyst,EXL,"bangalore, karnataka",750000.0,sql
Data Analyst,EXL,"bangalore, karnataka",750000.0,tableau
Data Analyst,EXL,"bangalore, karnataka",750000.0,power bi
Data Analyst,Awign,"bangalore, karnataka",550000.0,google sheets
Data Analyst,Align Technology,"delhi, india",750000.0,data visualization
Data Analyst,Appitsimple infotek Pvt. Ltd.,india,200000.0,excel
Data Analyst,Novel Office,"kolkata, west bengal",750000.0,excel
Data Analyst,Novel Office,"hyderabad, telangana",750000.0,excel
Data Analyst,Extramarks,"noida, ghaziabad",500000.0,python
Data Analyst,Extramarks,"noida, ghaziabad",500000.0,sql
Data Analyst,Extramarks,"noida, ghaziabad",500000.0,excel
Data Analyst,Extramarks,"noida, ghaziabad",500000.0,statistics
Data Analyst,Topcoder,"noida, ghaziabad",750000.0,etl
Data Analyst,Wipzo Systech Private Limited,"pune, maharashtra",750000.0,sql
Data Analyst,Wipzo Systech Private Limited,"pune, maharashtra",750000.0,communication
Data Analyst,Jobgether,india,750000.0,excel
Data Analyst,Equitas Small Finance Bank,india,750000.0,sql
Data Analyst,Equitas Small Finance Bank,india,750000.0,excel
Data Analyst,Equitas Small Finance Bank,india,750000.0,power bi
Data Analyst,Technogen,"bangalore, karnataka",750000.0,hadoop
Data Analyst,Technogen,"bangalore, karnataka",750000.0,data visualization
Data Analyst,Space Stem,"ahmedabad, gujarat",750000.0,sql
Data Analyst,Space Stem,"ahmedabad, gujarat",750000.0,excel
Data Analyst,Space Stem,"ahmedabad, gujarat",750000.0,etl
Data Analyst,Mantras2Success,"ahmedabad, gujarat",750000.0,excel
Data Analyst,Mantras2Success,"ahmedabad, gujarat",750000.0,google sheets
Data Analyst,Delhivery,"gurgaon, haryana",750000.0,python
Data Analyst,Delhivery,"gurgaon, haryana",750000.0,sql
Data Analyst,Delhivery,"gurgaon, haryana",750000.0,tableau
Data Analyst,Delhivery,"gurgaon, haryana",750000.0,power bi
Data Analyst,Delhivery,"gurgaon, haryana",750000.0,pandas
Data Analyst,Delhivery,"gurgaon, haryana",750000.0,numpy
Data Analyst,CONTUS TECH,"chennai, tamil nadu",750000.0,sql
Data Analyst,CONTUS TECH,"chennai, tamil nadu",750000.0,communication
Data Analyst,Cohere Health,"hyderabad, telangana",750000.0,excel
Data Analyst,Bajaj Finance,india,750000.0,sql
Data Analyst,Bajaj Finance,india,750000.0,spark
Data Analyst,Falcon Autotech,"noida, ghaziabad",550000.0,sql
Data Analyst,Falcon Autotech,"noida, ghaziabad",550000.0,excel
Data Analyst,Falcon Autotech,"noida, ghaziabad",550000.0,tableau
Data Analyst,Falcon Autotech,"noida, ghaziabad",550000.0,power bi
Data Analyst,Falcon Autotech,"noida, ghaziabad",550000.0,google sheets
Data Analyst,Falcon Autotech,"noida, ghaziabad",550000.0,communication
Data Analyst,Marktine,"bangalore, karnataka",750000.0,excel
Data Analyst,Marktine,"bangalore, karnataka",750000.0,tableau
Data Analyst,Marktine,"bangalore, karnataka",750000.0,power bi
Data Analyst,Marktine,"bangalore, karnataka",750000.0,data visualization
Data Analyst,QAgile Services,india,400000.0,sql
Data Analyst,QAgile Services,india,400000.0,power bi
Data Analyst,QAgile Services,india,400000.0,spark
Data Analyst,QAgile Services,india,400000.0,etl
Data Analyst,Jobdost,"mangalore, dakshin kannada",900000.0,sql
Data Analyst,Indium Software,"bangalore, karnataka",800000.0,python
Data Analyst,Indium Software,"bangalore, karnataka",800000.0,sql
Data Analyst,Indium Software,"bangalore, karnataka",800000.0,statistics
